admin1,month,protest_count,repression_events,protest_count_t1
Central Sulawesi,2020-02-01,0,0,1
Central Sulawesi,2020-03-01,1,0,0
Central Sulawesi,2020-04-01,0,0,0
Central Sulawesi,2020-05-01,0,0,2
Central Sulawesi,2020-06-01,2,0,1
Central Sulawesi,2020-07-01,1,0,2
Central Sulawesi,2020-08-01,2,0,0
Central Sulawesi,2020-09-01,0,0,0
Central Sulawesi,2020-10-01,0,0,0
Central Sulawesi,2020-11-01,0,0,2
Central Sulawesi,2020-12-01,2,0,0
Central Sulawesi,2021-01-01,0,0,1
Central Sulawesi,2021-02-01,1,0,1
Central Sulawesi,2021-03-01,1,0,0
Central Sulawesi,2021-04-01,0,0,2
Central Sulawesi,2021-05-01,2,0,5
Central Sulawesi,2021-06-01,5,0,2
Central Sulawesi,2021-07-01,2,1,2
Central Sulawesi,2021-08-01,2,0,6
Central Sulawesi,2021-09-01,6,0,1
Central Sulawesi,2021-10-01,1,0,4
Central Sulawesi,2021-11-01,4,1,2
Central Sulawesi,2021-12-01,2,0,2
Central Sulawesi,2022-01-01,2,0,7
Central Sulawesi,2022-02-01,7,1,4
Central Sulawesi,2022-03-01,4,0,3
Central Sulawesi,2022-04-01,3,0,4
Central Sulawesi,2022-05-01,4,0,2
Central Sulawesi,2022-06-01,2,0,2
Central Sulawesi,2022-07-01,2,0,5
Central Sulawesi,2022-08-01,5,0,11
Central Sulawesi,2022-09-01,11,0,0
Central Sulawesi,2022-10-01,0,0,2
Central Sulawesi,2022-11-01,2,0,2
Central Sulawesi,2022-12-01,2,0,4
Central Sulawesi,2023-01-01,4,0,2
Central Sulawesi,2023-02-01,2,0,3
Central Sulawesi,2023-03-01,3,0,5
Central Sulawesi,2023-04-01,5,0,6
Central Sulawesi,2023-05-01,6,1,7
Central Sulawesi,2023-06-01,7,0,1
Central Sulawesi,2023-07-01,1,0,10
Central Sulawesi,2023-08-01,10,0,3
Central Sulawesi,2023-09-01,3,0,4
Central Sulawesi,2023-10-01,4,0,3
Central Sulawesi,2023-11-01,3,0,8
Central Sulawesi,2023-12-01,8,0,3
Central Sulawesi,2024-01-01,3,0,7
Central Sulawesi,2024-02-01,7,0,2
Central Sulawesi,2024-03-01,2,0,4
Central Sulawesi,2024-04-01,4,0,7
Central Sulawesi,2024-05-01,7,0,3
Central Sulawesi,2024-06-01,3,0,1
Central Sulawesi,2024-07-01,1,0,5
Central Sulawesi,2024-08-01,5,0,7
Central Sulawesi,2024-09-01,7,0,6
Central Sulawesi,2024-10-01,6,0,7
Central Sulawesi,2024-11-01,7,0,12
Central Sulawesi,2024-12-01,12,0,6
Central Sulawesi,2025-01-01,6,0,NA
East Java,2019-01-01,2,0,11
East Java,2019-02-01,11,1,5
East Java,2019-03-01,5,0,7
East Java,2019-04-01,7,1,21
East Java,2019-05-01,21,0,6
East Java,2019-06-01,6,0,8
East Java,2019-07-01,8,1,24
East Java,2019-08-01,24,0,48
East Java,2019-09-01,48,1,9
East Java,2019-10-01,9,0,20
East Java,2019-11-01,20,1,10
East Java,2019-12-01,10,0,19
East Java,2020-01-01,19,1,12
East Java,2020-02-01,12,0,13
East Java,2020-03-01,13,2,4
East Java,2020-04-01,4,2,3
East Java,2020-05-01,3,1,10
East Java,2020-06-01,10,1,33
East Java,2020-07-01,33,1,23
East Java,2020-08-01,23,2,20
East Java,2020-09-01,20,0,17
East Java,2020-10-01,17,2,22
East Java,2020-11-01,22,0,9
East Java,2020-12-01,9,0,9
East Java,2021-01-01,9,1,7
East Java,2021-02-01,7,0,27
East Java,2021-03-01,27,1,13
East Java,2021-04-01,13,0,20
East Java,2021-05-01,20,0,15
East Java,2021-06-01,15,0,9
East Java,2021-07-01,9,0,17
East Java,2021-08-01,17,0,13
East Java,2021-09-01,13,0,20
East Java,2021-10-01,20,0,28
East Java,2021-11-01,28,0,22
East Java,2021-12-01,22,0,21
East Java,2022-01-01,21,0,25
East Java,2022-02-01,25,1,32
East Java,2022-03-01,32,0,36
East Java,2022-04-01,36,1,11
East Java,2022-05-01,11,0,20
East Java,2022-06-01,20,0,15
East Java,2022-07-01,15,0,14
East Java,2022-08-01,14,1,63
East Java,2022-09-01,63,1,25
East Java,2022-10-01,25,0,24
East Java,2022-11-01,24,0,20
East Java,2022-12-01,20,0,20
East Java,2023-01-01,20,0,22
East Java,2023-02-01,22,0,28
East Java,2023-03-01,28,0,16
East Java,2023-04-01,16,0,34
East Java,2023-05-01,34,0,25
East Java,2023-06-01,25,0,24
East Java,2023-07-01,24,1,35
East Java,2023-08-01,35,2,17
East Java,2023-09-01,17,1,28
East Java,2023-10-01,28,0,24
East Java,2023-11-01,24,0,25
East Java,2023-12-01,25,1,22
