admin1,week,protest_count,repression_events,repression_fatalities,protest_count_t1,repression_t
Bali,2021-05-23,0,0,0,1,0
Bali,2021-05-30,1,1,0,1,1
Bali,2021-06-06,1,0,0,1,0
Bali,2021-06-13,1,0,0,0,0
Bali,2021-06-20,0,0,0,0,0
Bali,2021-06-27,0,0,0,0,0
Bali,2021-07-04,0,0,0,0,0
Bali,2021-07-11,0,0,0,0,0
Bali,2021-07-18,0,0,0,2,0
Bali,2021-07-25,2,1,0,0,1
Bali,2021-08-01,0,0,0,0,0
Bali,2021-08-08,0,0,0,0,0
Bali,2021-08-15,0,0,0,2,0
Bali,2021-08-22,2,0,0,1,0
Bali,2021-08-29,1,1,0,0,1
Bali,2021-09-05,0,0,0,0,0
Bali,2021-09-12,0,0,0,1,0
Bali,2021-09-19,1,0,0,1,0
Bali,2021-09-26,1,0,0,1,0
Bali,2021-10-03,1,0,0,2,0
Bali,2021-10-10,2,0,0,1,0
Bali,2021-10-17,1,0,0,1,0
Bali,2021-10-24,1,0,0,0,0
Bali,2021-10-31,0,0,0,0,0
Bali,2021-11-07,0,0,0,0,0
Bali,2021-11-14,0,0,0,0,0
Bali,2021-11-21,0,0,0,1,0
Bali,2021-11-28,1,0,0,0,0
Bali,2021-12-05,0,0,0,0,0
Bali,2021-12-12,0,0,0,1,0
Bali,2021-12-19,1,0,0,1,0
Bali,2021-12-26,1,0,0,0,0
Bali,2022-01-02,0,0,0,2,0
Bali,2022-01-09,2,0,0,1,0
Bali,2022-01-16,1,0,0,0,0
Bali,2022-01-23,0,0,0,0,0
Bali,2022-01-30,0,0,0,0,0
Bali,2022-02-06,0,0,0,0,0
Bali,2022-02-13,0,0,0,1,0
Bali,2022-02-20,1,0,0,2,0
Bali,2022-02-27,2,0,0,0,0
Bali,2022-03-06,0,0,0,1,0
Bali,2022-03-13,1,0,0,0,0
Bali,2022-03-20,0,0,0,0,0
Bali,2022-03-27,0,0,0,0,0
Bali,2022-04-03,0,0,0,2,0
Bali,2022-04-10,2,0,0,1,0
Bali,2022-04-17,1,0,0,0,0
Bali,2022-04-24,0,0,0,0,0
Bali,2022-05-01,0,0,0,2,0
Bali,2022-05-08,2,1,0,0,1
Bali,2022-05-15,0,0,0,0,0
Bali,2022-05-22,0,0,0,1,0
Bali,2022-05-29,1,0,0,0,0
Bali,2022-06-05,0,0,0,0,0
Bali,2022-06-12,0,0,0,2,0
Bali,2022-06-19,2,0,0,0,0
Bali,2022-06-26,0,0,0,1,0
Bali,2022-07-03,1,0,0,3,0
Bali,2022-07-10,3,0,0,0,0
Bali,2022-07-17,0,0,0,3,0
Bali,2022-07-24,3,0,0,0,0
Bali,2022-07-31,0,0,0,1,0
Bali,2022-08-07,1,0,0,1,0
Bali,2022-08-14,1,0,0,1,0
Bali,2022-08-21,1,0,0,0,0
Bali,2022-08-28,0,0,0,2,0
Bali,2022-09-04,2,0,0,1,0
Bali,2022-09-11,1,0,0,0,0
Bali,2022-09-18,0,0,0,1,0
Bali,2022-09-25,1,0,0,1,0
Bali,2022-10-02,1,0,0,0,0
Bali,2022-10-09,0,0,0,1,0
Bali,2022-10-16,1,0,0,0,0
Bali,2022-10-23,0,0,0,0,0
Bali,2022-10-30,0,0,0,0,0
Bali,2022-11-06,0,0,0,2,0
Bali,2022-11-13,2,2,0,0,2
Bali,2022-11-20,0,0,0,0,0
Bali,2022-11-27,0,0,0,3,0
Bali,2022-12-04,3,0,0,0,0
Bali,2022-12-11,0,0,0,0,0
Bali,2022-12-18,0,0,0,0,0
Bali,2022-12-25,0,0,0,0,0
Bali,2023-01-01,0,0,0,0,0
Bali,2023-01-08,0,0,0,0,0
Bali,2023-01-15,0,0,0,0,0
Bali,2023-01-22,0,0,0,0,0
Bali,2023-01-29,0,0,0,0,0
Bali,2023-02-05,0,0,0,0,0
Bali,2023-02-12,0,0,0,0,0
Bali,2023-02-19,0,0,0,3,0
Bali,2023-02-26,3,0,0,1,0
Bali,2023-03-05,1,0,0,0,0
Bali,2023-03-12,0,0,0,0,0
Bali,2023-03-19,0,0,0,1,0
